CourseId,ReviewId,Review,Label,SemanticUnits
big-data-machine-learning,0,good,4,['good']
big-data-machine-learning,1,Perfect overview on machine learning methods. The numerical example could be better. The Neural Network is also didn't cover that is very common now.,4,"['perfect overview machine learning methods', 'numerical example could better', ""neural network also didn't cover common""]"
big-data-machine-learning,2,This course is a great fit between theory and pratice,5,['course great fit theory pratice']
big-data-machine-learning,3,"Really fun, glad I finally finished. I got so distracted running off and learning things. I got familiar with scala and python along the way too.",5,"['really fun glad finally finished', 'got distracted running learning things', 'got familiar scala python along way']"
big-data-machine-learning,4,"This is the best course of this specialization. Dr. Nguyen describes and teaches the contents of machine learning with clarity and digested knowledge.I would suggest to add more in-depth contents to each of the machine learning category, especially clustering, classification and association, at least as optional contents in case the number of weeks allocated for course are restricted.",5,"['best course specialization', 'dr', 'nguyen describes teaches contents machine learning clarity digested knowledge', 'would suggest add depth contents machine learning category especially clustering classification', 'association least optional contents case number weeks allocated course restricted']"
big-data-machine-learning,5,Very good,5,['very good']
big-data-machine-learning,6,Very interesting cource! Thank you!I would suggest to advance python tasks,5,"['very interesting cource', 'thank you', 'would suggest advance python tasks']"
big-data-machine-learning,7,"Nice course, very practical.",5,['nice course practical']
big-data-machine-learning,8,"This course introduces the basic concepts of ML beautifully, the instructor explains everything in a very lucid way. It also teaches modeling with ML in KNIME. I would personally want to know more about spark, but this course gives a good introduction. Overall very good starting point for beginners.",5,"['course introduces basic concepts ml beautifully instructor explains everything lucid way', 'also teaches modeling ml knime', 'would personally want know spark course gives good introduction', 'overall good starting point beginners']"
big-data-machine-learning,9,Very basic things... Any examples for regression.,3,"['very basic things', 'any examples for regression']"
big-data-machine-learning,10,Very well explained course on Machine Learning. I am grateful for the highly insightful course like this. I will recommend this course for all data enthusiasts.,5,"['well explained course machine learning', 'grateful highly insightful course like', 'recommend course data enthusiasts']"
big-data-machine-learning,11,not enough work in the other machine learning models (the course centered the main part of it to classification ),4,['not enough work machine learning models course centered main part classification']
big-data-machine-learning,12,"I think its a good introductory course, but lacking in exercises.",4,['think good introductory course lacking exercises']
big-data-machine-learning,13,-,4,['-']
big-data-machine-learning,14,"This is a valuable course in learning the basics of machine learning. but I was hoping to to get more hands on practice in this course. but overall, i learned a lot with the existing content.",4,"['valuable course learning basics machine learning', 'hoping get hands practice course', 'overall learned lot existing content']"
big-data-machine-learning,15,"well structured, fits well to beginners!",4,['well structured fits well beginners']
big-data-machine-learning,16,"Good overview of tools specially Spark. The last demo handson with Spark clustering had too much content to be covered in 11 minutes. The presenter does not give any details on many functions he was using. Felt like copy paste coding. The rest was good, specially the lecturer compared to the lecturers of the other courses of the specialisation.",4,"['good overview tools specially spark', 'last demo handson spark clustering much content covered 11 minutes', 'presenter not give details many functions using', 'felt like copy paste coding', 'rest good specially lecturer compared lecturers courses specialisation']"
big-data-machine-learning,17,It is really great.,5,['it is really great']
big-data-machine-learning,18,The course was the best introduction I had for machine learning. Helped me a lot to understand different concepts from people who already know about the subject and I didn't have any idea.,5,"['course best introduction machine learning', ""helped lot understand different concepts people already know subject didn't idea""]"
big-data-machine-learning,19,Easy to follow. Good resource to understand the basic concept of big data.,4,"['easy to follow', 'good resource understand basic concept big data']"
big-data-machine-learning,20,"I really enjoyed the course since it's match with my patience and work, in addition I'd like to highlight the instructor, clear,organized idea and steps, this was 70% of the success of the course I believe.",5,"['really enjoyed course since match patience', 'work addition like highlight instructor clear organized idea steps 70 success course believe']"
big-data-machine-learning,21,It's ok for an extremely high-level overiew,3,['ok extremely high level overiew']
