UMAP_dim,cluster_id,size,representative_phrase
10,608,349,programming assignments mostly trivial
10,519,345,detailed info people know calculus algebra bascs
10,82,283,matlab r exercises give great way practicing subjects studied video lectures
10,190,261,lo realizaron de una manera per din mica sencilla quiero felicitarlos por ello
10,5,238,great course
10,150,199,prof andrew displays tremendous teaching skill
10,2,172,excellent course
10,478,157,best course ever taken coursera
10,20,148,适合机器学习入门，内容简单有效
10,514,137,quizzes good questions phrased poorly ambiguous manner made hard understand exactly asked
