UMAP_dim,cluster_id,size,weighted_centroid_phrase,rep_cosine_sim
10,608,349,good programming assignments,0.8946801042963504
10,519,345,math content obviously must lot well explained,0.8266746648144511
10,82,283,first disappointed homework needs done matlab octave instead,0.8790808523184432
10,190,261,es el mejor curso de todos gracias por compartir tanto conocimiento,0.8354063068218318
10,5,238,great course,0.999962704324908
10,150,199,andrew expert great teacher,0.9216129512331694
10,2,172,excellent course,0.9997542134753055
10,478,157,one best courses ever coursera,0.9401781018543143
10,20,148,老师讲的通俗易懂，很利于入门机器学习。,0.9556081564424992
10,514,137,taught not sufficient quizzes,0.8486484367667029
