UMAP_dim,cluster_id,size,weighted_centroid_phrase,rep_cosine_sim
5,11,2313,course,0.9999976940788909
5,166,1594,machine learning,0.9999981515502332
5,153,654,thank,0.9999971640456289
5,6,593,great course,0.9999898493409702
5,241,461,lot,1.000000000000001
5,141,423,understand,0.9999724108392959
5,182,371,learn,0.9999185040465908
5,158,367,easy,0.9999607868751708
5,189,362,ml,0.9994245557186661
5,458,321,much,0.9999636009950864
10,87,2314,course,0.9999973512436362
10,21,1590,machine learning,0.9999989767765121
10,5,654,thank,0.9999975468134685
10,93,589,great course,0.9999982304936438
10,114,497,lot,0.9999942817729575
10,172,435,understand,0.9999221828238966
10,660,404,andrew ng,0.9999569216026051
10,55,387,thanks,0.9999472193287053
10,68,380,excellent course,0.9999765760473831
10,46,369,learn,0.9999403530033335
